frame.number|ip.src|ip.dst|_ws.col.protocol|frame.len|kerberos.CNameString|kerberos.realm|kerberos.SNameString|ntlmssp.auth.username|ntlmssp.auth.domain|ntlmssp.auth.hostname
26062|10.1.17.2|10.1.17.215|SMB2|314||||||
26089|10.1.17.215|10.1.17.255|BROWSER|243||||||
26725|10.1.17.215|10.1.17.255|BROWSER|228||||||
26729|10.1.17.215|10.1.17.255|BROWSER|228||||||
26733|10.1.17.215|10.1.17.255|BROWSER|228||||||
26739|10.1.17.215|10.1.17.255|BROWSER|228||||||
26740|10.1.17.215|10.1.17.255|BROWSER|240||||||
26745|10.1.17.215|10.1.17.255|BROWSER|240||||||
26746|10.1.17.215|10.1.17.255|BROWSER|240||||||
26747|10.1.17.215|10.1.17.255|BROWSER|240||||||
27296|10.1.17.215|10.1.17.255|BROWSER|228||||||
27298|10.1.17.215|10.1.17.255|BROWSER|228||||||
27299|10.1.17.215|10.1.17.255|BROWSER|228||||||
27303|10.1.17.215|10.1.17.255|BROWSER|228||||||
27312|10.1.17.215|10.1.17.255|BROWSER|240||||||
27313|10.1.17.215|10.1.17.255|BROWSER|240||||||
27314|10.1.17.215|10.1.17.255|BROWSER|240||||||
27315|10.1.17.215|10.1.17.255|BROWSER|240||||||
27363|10.1.17.215|10.1.17.2|DCERPC|214||||||
27364|10.1.17.2|10.1.17.215|DCERPC|162||||||
27365|10.1.17.215|10.1.17.2|EPM|222||||||
27366|10.1.17.2|10.1.17.215|EPM|322||||||
27371|10.1.17.215|10.1.17.2|DCERPC|869||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
27373|10.1.17.2|10.1.17.215|DCERPC|338||||||
27374|10.1.17.215|10.1.17.2|DCERPC|274||||||
27375|10.1.17.2|10.1.17.215|DCERPC|159||||||
27376|10.1.17.215|10.1.17.2|DRSUAPI|322||||||
27377|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
27378|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
27379|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
27380|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
27381|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
27382|10.1.17.215|10.1.17.2|EPM|222||||||
27383|10.1.17.2|10.1.17.215|EPM|322||||||
27384|10.1.17.215|10.1.17.2|DRSUAPI|258||||||
27385|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
27386|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
27387|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
27388|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
27389|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
27393|10.1.17.215|10.1.17.2|LDAP|404||||||
27395|10.1.17.2|10.1.17.215|LDAP|1450||||||
27398|10.1.17.215|10.1.17.2|LDAP|760||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
27400|10.1.17.2|10.1.17.215|LDAP|264||||||
27401|10.1.17.215|10.1.17.2|LDAP|238||||||
27402|10.1.17.2|10.1.17.215|LDAP|262||||||
27403|10.1.17.215|10.1.17.2|LDAP|243||||||
27404|10.1.17.2|10.1.17.215|LDAP|220||||||
27405|10.1.17.215|10.1.17.2|LDAP|237||||||
